,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Smoking,Alcohol,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Punctuality,Lying,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls,Internet usage,Finances,Shopping centres,Branded clothing,Entertainment spending,Spending on looks,Spending on gadgets,Spending on healthy eating,Age,Height,Weight,Number of siblings,Gender,Left - right handed,Education,Only child,Village - town,House - block of flats
184,5.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,2.0,5.0,3.0,3.0,5.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,3.0,2.0,5.0,3.0,1.0,2.0,3.0,5.0,1.0,3.0,2.0,5,2.0,4.0,5.0,3.0,1,1,4.0,2.0,1.0,3.0,3.0,2.0,1.0,4.0,2.0,3.0,1.0,5.0,5.0,1.0,2.0,1.0,4.0,3.0,2.0,2,2,1.0,5.0,3.0,5.0,2.0,3.0,4.0,1.0,2,1.0,2,3,2,2.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,2.0,3.0,4.0,2,2.0,5.0,4.0,2.0,2.0,1,3.0,21.0,174.0,85.0,0.0,2,2,4,1,2,2
151,5.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,5.0,4.0,4.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,5.0,1.0,4.0,2.0,3.0,4.0,5.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0,3,4.0,2.0,2.0,4.0,3,3,1.0,5.0,1.0,4.0,4.0,4.0,1.0,5.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,5.0,5.0,4.0,1.0,1,3,2.0,4.0,5.0,3.0,5.0,4.0,3.0,2.0,4,1.0,3,1,2,1.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,2,4.0,1.0,4.0,4.0,3.0,3,2.0,20.0,180.0,100.0,1.0,1,2,3,2,2,1
910,5.0,4.0,2.0,1.0,1.0,3.0,4.0,4.0,5.0,1.0,1.0,4.0,4.0,5.0,5.0,5.0,4.0,1.0,2.0,5.0,1.0,4.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,4.0,4.0,2.0,5.0,3.0,5.0,2.0,1.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,2.0,2.0,1.0,4.0,1.0,5.0,2.0,5.0,4.0,5.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5,3.0,5.0,4.0,2.0,3,2,4.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,2.0,1.0,2.0,4.0,5.0,4.0,1.0,2,2,4.0,2.0,5.0,2.0,4.0,3.0,3.0,4.0,4,1.0,4,2,3,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2,4.0,5.0,4.0,4.0,4.0,2,5.0,18.0,165.0,48.0,0.0,2,2,3,1,2,1
519,5.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,3.0,3.0,4.0,2.0,3.0,5.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,5.0,1.0,2.0,2.0,1.0,5.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,3,1.0,5.0,2.0,4.0,3,1,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,3.0,2.0,5.0,2.0,5.0,4.0,3.0,3.0,1,2,2.0,3.0,3.0,2.0,5.0,5.0,4.0,3.0,3,1.0,3,2,3,2.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,5.0,5.0,2.0,5.0,2.0,4.0,3.0,4.0,3.0,1.0,5.0,4.0,3.0,3.0,2,1.0,1.0,2.0,5.0,3.0,4,5.0,19.0,185.0,74.0,1.0,1,2,2,2,2,1
780,5.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,1.0,4.0,3.0,5.0,2.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,2.0,1.0,2.0,3.0,1.0,5,3.0,2.0,3.0,3.0,3,2,4.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,2.0,4.0,2.0,1.0,2.0,4.0,3.0,4.0,2.0,1,2,3.0,5.0,5.0,3.0,2.0,4.0,3.0,4.0,4,4.0,3,3,1,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,5.0,3.0,1.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,2,3.0,5.0,4.0,3.0,3.0,3,4.0,18.0,174.0,64.0,1.0,1,2,3,2,2,1
408,5.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,5.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,3.0,5.0,3.0,5.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,3.0,5.0,5.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0,5.0,1.0,1.0,5.0,3.0,5.0,1.0,3.0,5,5.0,4.0,5.0,2.0,3,2,3.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,1.0,5.0,3.0,5.0,5.0,3.0,1,3,1.0,5.0,5.0,2.0,3.0,4.0,4.0,5.0,3,2.0,3,1,1,1.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,2.0,5.0,3.0,4.0,3.0,2,2.0,1.0,3.0,1.0,3.0,1,3.0,21.0,164.0,58.0,1.0,2,2,4,2,2,1
108,4.0,3.0,2.0,2.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,5.0,5.0,4.0,3.0,2.0,4.0,4.0,3.0,1.0,5.0,1.0,3.0,2.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,5.0,3,2.0,5.0,4.0,2.0,2,2,3.0,1.0,2.0,3.0,2.0,2.0,1.0,4.0,5.0,3.0,4.0,2.0,5.0,1.0,2.0,3.0,2.0,4.0,1.0,1,2,1.0,5.0,4.0,5.0,2.0,1.0,4.0,3.0,2,2.0,1,1,1,3.0,2.0,5.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,3.0,5.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2,1.0,3.0,4.0,2.0,3.0,3,3.0,17.0,168.0,61.0,1.0,2,2,2,2,2,1
633,5.0,4.0,3.0,5.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,5.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,5.0,1.0,1.0,3.0,4.0,3.0,5.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,3,1.0,1.0,3.0,1.0,2,2,1.0,3.0,2.0,4.0,1.0,3.0,2.0,3.0,4.0,3.0,5.0,3.0,1.0,5.0,3.0,3.0,3.0,5.0,1.0,2,1,5.0,5.0,5.0,1.0,5.0,4.0,3.0,2.0,3,1.0,5,1,2,3.0,5.0,2.0,3.0,3.0,3.0,1.0,5.0,4.0,2.0,3.0,4.0,4.0,1.0,5.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3,2.0,3.0,3.0,2.0,2.0,4,3.0,21.0,180.0,67.0,2.0,1,2,3,2,2,1
90,4.0,2.0,3.0,2.0,1.0,3.0,4.0,3.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,5.0,4.0,2.0,2.0,5.0,5.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,4.0,3.0,2.0,5.0,2.0,3.0,2.0,3.0,1.0,3.0,5.0,3,1.0,5.0,4.0,3.0,3,2,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,2.0,3.0,3.0,2.0,1.0,5.0,3.0,4.0,4.0,1.0,1,4,4.0,2.0,1.0,3.0,5.0,4.0,5.0,5.0,4,3.0,3,2,1,1.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,4.0,3.0,2.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,5.0,3.0,3.0,2.0,1,1.0,3.0,4.0,5.0,4.0,3,3.0,19.0,154.0,58.0,3.0,2,2,3,2,1,2
834,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,5.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,5.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,1.0,4.0,4.0,4.0,3,2.0,3.0,2.0,4.0,3,2,4.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,1.0,4.0,5.0,4.0,4.0,1.0,2,2,3.0,4.0,2.0,2.0,5.0,2.0,3.0,3.0,4,3.0,4,1,1,3.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,1.0,3,2.0,3.0,4.0,4.0,2.0,2,3.0,21.0,179.0,76.0,1.0,1,2,3,2,2,1
792,5.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,1.0,4.0,3.0,5.0,4.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,4.0,5.0,1.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,1.0,1,4.0,4.0,5.0,4.0,1,2,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2,3,4.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,3,2.0,4,3,1,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3,3.0,4.0,4.0,4.0,4.0,4,4.0,21.0,192.0,93.0,1.0,1,2,5,2,1,2
